Time;Gaze.X;GazeY;SubjectID;Snippet;Indentation;TrialNumber
6683252,6782;1436,01476977585;622,338081321389;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683267,1737;1433,60126097902;623,94772807395;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683282,5981;1445,74102824551;637,046165739151;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683312,938;1454,89575542732;651,363158659961;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683327,2741;1451,33664380417;651,132011088846;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683341,8329;1451,29907021683;666,122953041175;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683358,9086;1445,1141925644;649,766887960295;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683371,5885;1423,8632761848;645,692578558728;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683388,3083;1415,09365696179;649,351624967783;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683402,2074;1417,28881026112;652,422968040244;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683418,0452;1430,03054795797;642,90873460871;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683432,336;1428,71349028455;644,980814840008;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683463,6837;1424,12625984444;652,758336035527;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683477,0063;1431,34119536081;649,44061499343;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683492,5808;1433,59728482701;644,574042356521;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683513,3355;1434,06089190464;645,095250623516;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683531,2547;1438,77711599724;661,924274730791;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683544,1657;1440,53957009325;662,638622337059;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683559,7644;1443,06013653711;655,655936434588;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683573,5221;1444,60168906761;652,636196952184;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683590,3151;1443,36927213602;655,307516315792;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683619,8848;1448,10190880631;664,313900771529;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683634,9196;1439,78650134546;676,995292745086;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683649,9748;1445,37967435432;690,700741998258;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683664,98;1453,23732538949;684,018133402048;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683679,8988;1456,39362374641;671,240214951502;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683694,4203;1459,74471084547;673,929372079441;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683708,86;1470,51005519159;694,1175356453;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683724,0541;1474,15115839318;713,507089588694;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683740,6493;1469,14116834211;743,021776937947;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683770,9673;1469,628967003;752,863326743896;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683784,9085;1468,37310061941;745,333243505296;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683798,4285;1465,35897237773;743,288104356427;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683813,9603;1452,79790772376;714,77209401844;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683830,4889;1446,86443107731;695,943954553561;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683843,932;1445,55103858539;693,084737384133;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
6683859,1627;1457,68036597537;701,229628304317;9a12d88f-1977-4b3b-81a7-5fbf872d1888;FixationCross_0;4;0
