Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID
0;Student;4;26;25799;False;44fcc483-8046-4252-a6ce-4a98002485f2
1;Calculation_scrambled;4;8;109144;False;44fcc483-8046-4252-a6ce-4a98002485f2
2;MoneyClass_scrambled;4;1,40;56265;False;44fcc483-8046-4252-a6ce-4a98002485f2
3;Rectangle;4;100 25;108286;False;44fcc483-8046-4252-a6ce-4a98002485f2
4;Vehicle;4;10;90649;False;44fcc483-8046-4252-a6ce-4a98002485f2
5;Street;4;15;34789;False;44fcc483-8046-4252-a6ce-4a98002485f2
6;SignChecker_scrambled;4;positiv null;121685;False;44fcc483-8046-4252-a6ce-4a98002485f2

