Participant,Expert,Snippet,Linearity,HasError,Scrambled,HitsLine,HitsBlocks,HitsAnswer,VerticalNext,VerticalLater,Regression,HorizontalLater,LineRegression,SaccadeLength,StoryOrder_Naive_Score,StoryOrder_Dynamic_Score,StoryOrder_Dynamic_Repetitions,ExecOrder_Naive_Score,ExecOrder_Dynamic_Score,ExecOrder_Dynamic_Repetitions
1f8beed4,True,InsertSort,C,False,False,0.8588235294117647,0.9058823529411765,0.023529411764705882,0.1780821917808219,0.319634703196347,0.2968036529680365,0.2146118721461187,0.1643835616438356,106.62071052813236,-203,-199,2,-139,-139,1
2f8ddeb6,True,InsertSort,C,False,False,0.7616033755274262,0.8502109704641351,0.027426160337552744,0.15789473684210525,0.31024930747922436,0.3157894736842105,0.20221606648199447,0.16897506925207756,104.3865160692394,-366,-303,3,-259,-255,2
3319c524,True,InsertSort,C,False,False,0.7172701949860725,0.8607242339832869,0.013927576601671309,0.18058252427184465,0.39805825242718446,0.39029126213592236,0.1145631067961165,0.09514563106796116,47.75586216807113,-696,-592,5,-596,-514,3
5f111f97,True,InsertSort,C,False,False,0.8106508875739645,0.8905325443786982,0.029585798816568046,0.17518248175182483,0.2956204379562044,0.3102189781021898,0.20802919708029197,0.18248175182481752,76.58161986391889,-264,-193,4,-223,-223,1
6cd1b570,True,InsertSort,C,False,False,0.7544483985765125,0.8434163701067615,0.021352313167259787,0.19339622641509435,0.3632075471698113,0.37264150943396224,0.15566037735849056,0.10377358490566038,72.30575900532887,-223,-206,3,-148,-148,1
8b56a1da,True,InsertSort,C,False,False,0.7754716981132076,0.9056603773584906,0.0018867924528301887,0.19708029197080293,0.31143552311435524,0.32116788321167883,0.19464720194647203,0.170316301703163,60.269259211246585,-464,-382,7,-376,-351,2
b1146e7b,True,InsertSort,C,False,False,0.7217391304347827,0.7652173913043478,0.017391304347826087,0.18674698795180722,0.3313253012048193,0.28313253012048195,0.25301204819277107,0.12650602409638553,68.72149865112789,-136,-129,2,-110,-110,1
baaa7f91,True,InsertSort,C,False,False,0.7286324786324786,0.8846153846153846,0.053418803418803416,0.20527859237536658,0.3489736070381232,0.2903225806451613,0.16715542521994134,0.1906158357771261,70.51889159731914,-357,-263,7,-268,-268,1
cf071081,True,InsertSort,C,False,False,0.903370786516854,0.9213483146067416,0.015730337078651686,0.17412935323383086,0.2537313432835821,0.2263681592039801,0.2960199004975124,0.22139303482587064,62.26059690893373,-312,-257,3,-241,-241,1
d4aecdc3,True,InsertSort,C,False,False,0.8293838862559242,0.9383886255924171,0.023696682464454975,0.19428571428571428,0.3028571428571429,0.21714285714285714,0.2342857142857143,0.24,65.36820879605933,-120,-111,3,-82,-82,1
e3829974,True,InsertSort,C,False,False,0.873900293255132,0.9266862170087976,0.02932551319648094,0.19798657718120805,0.3724832214765101,0.35570469798657717,0.15100671140939598,0.1174496644295302,92.57787723066227,-372,-256,5,-266,-233,2
07d16e43,True,MoneyClass,A,False,False,0.8348623853211009,0.8348623853211009,0.08256880733944955,0.24175824175824176,0.2967032967032967,0.2967032967032967,0.2857142857142857,0.10989010989010989,82.11663905471008,-82,-18,6,-82,-18,6
128d315e,True,MoneyClass,A,False,False,0.5934065934065934,0.5494505494505495,0.13186813186813187,0.24074074074074073,0.25925925925925924,0.25925925925925924,0.3333333333333333,0.12962962962962962,82.15655392594138,-30,-7,3,-30,-7,3
1e492759,True,MoneyClass,A,False,False,0.7532467532467533,0.7922077922077922,0.11688311688311688,0.3103448275862069,0.3448275862068966,0.27586206896551724,0.1896551724137931,0.1724137931034483,210.25314299115,-46,-1,5,-46,-1,5
1f8beed4,True,MoneyClass,A,False,False,0.8431372549019608,0.8627450980392157,0.0,0.18604651162790697,0.32558139534883723,0.3023255813953488,0.20930232558139536,0.13953488372093023,122.86397514659149,-28,-11,4,-28,-11,4
